epoch,accuracy,loss,val_accuracy,val_loss
0,0.3700525760650635,1.3264846801757812,0.44668588042259216,1.2719895839691162
1,0.6252421736717224,0.9936745762825012,0.6023054718971252,0.9851256012916565
2,0.7960143685340881,0.5832861661911011,0.6945244669914246,0.7588062286376953
3,0.8499861359596252,0.4058931767940521,0.7002881765365601,0.791616678237915
4,0.8854137659072876,0.3152366876602173,0.6858789920806885,0.8205687999725342
5,0.9128148555755615,0.25420668721199036,0.6916426420211792,0.8698385953903198
6,0.9324660897254944,0.20596112310886383,0.6858789920806885,0.9148361682891846
7,0.9438139796257019,0.17416809499263763,0.7002881765365601,1.0061966180801392
8,0.9543315768241882,0.15133395791053772,0.6887608170509338,1.0072962045669556
9,0.9623581767082214,0.12576711177825928,0.6945244669914246,1.0827704668045044
10,0.9656794667243958,0.11830392479896545,0.7002881765365601,1.1669429540634155
11,0.9692776203155518,0.1050296351313591,0.6945244669914246,1.167874813079834
12,0.9698311686515808,0.10188746452331543,0.6657060384750366,1.2946492433547974
13,0.9739828109741211,0.09073095768690109,0.7002881765365601,1.2833470106124878
14,0.9723221659660339,0.09042482823133469,0.6772334575653076,1.2822805643081665
15,0.975089967250824,0.07942311465740204,0.6916426420211792,1.3087937831878662
16,0.975643515586853,0.07543709874153137,0.6858789920806885,1.3262618780136108
17,0.976473867893219,0.07196153700351715,0.6974063515663147,1.379166603088379
18,0.977027416229248,0.07469553500413895,0.6887608170509338,1.3854315280914307
19,0.9767506122589111,0.06979888677597046,0.6916426420211792,1.408396601676941
20,0.9775809645652771,0.06448197364807129,0.7002881765365601,1.381049633026123
21,0.976473867893219,0.06384781002998352,0.7089337110519409,1.427816390991211
22,0.9775809645652771,0.06069399416446686,0.6858789920806885,1.4266884326934814
23,0.9773041605949402,0.058568213135004044,0.6974063515663147,1.4418002367019653
24,0.9784113168716431,0.05668505281209946,0.6974063515663147,1.5170824527740479
